性別,年齢,職業,予約,施術,口コミ,店名
女性,40代,会社員,カット+カラー+ロイヤルTr\15900→\7980 カット、カラー、トリートメント,カット、カラー、トリートメント,丁寧なカウンセリングとあわせて、より扱いやすく格好の良いスタイリングを提案してくださりありがたかったです。タイパもよく仕上がりも満足でした。,A店
男性,20代後半,その他,【圧倒的似合わせ】メンズカット　\7100→\4650 カット,カット,普段は理容室でスキンフェードにしているが、タイミングと空きがなく近くのこちらの店舗を利用させていただきました。今回は後頭部が荒れている為相談しながらカットしてもらいました。今どきのさわやかな髪形になり満足です。美容室に行くのもありだなと思いました。機会あればまたお願いしたいです。,A店
女性,50代,自営業,【平日限定】カット+カラー+ロイヤルTr\15900→\6980 カット、カラー、トリートメント,カット、カラー、トリートメント,担当スタイリストさんには別店舗でお世話になり、新しくお店をオープンしたとのことで今回はこちらでお願いしました。岩本町の駅からすぐ、とてもすっきりとした綺麗な店内。オフィス街の中ですが、静かで心地よく過ごさせていただきました。　若いスタッフの方も丁寧にお仕事されていて気分よく帰りました。仕上がりは言うことありません。センスよく手際よく、いつもとても満足しています。ありがとうございます。,A店
女性,20代前半,会社員,【似合わせ】カット+ケラスターゼTr　￥11500→￥10200 カット、トリートメント,カット、トリートメント,数年長かった髪をショートボブにしてもらいました！かなり緊張していたのですが、丁寧に相談に乗ってもらえたので安心してカットに臨むことができました！出来栄えも大満足です！他の美容師さんも優しい方ばかりだったので、また行きたいと思います！,A店
女性,30代前半,会社員,カット+カラー+ケラスターゼTr　　\19900→\11380 カット、カラー、トリートメント,カット、カラー、トリートメント,自宅から近いので、利用してみました。店内はそこまで広くないですが、スタイリッシュで過ごしやすかったです。カラーから仕上げまで、丁寧に行っていただけたので満足です。岩本町駅から徒歩すぐで、平日は21時、休日は20時までやっているのは魅力的です。また伺います。,A店
女性,40代,その他,カット+Tr　　\7100→\4650 カット、トリートメント,カット、トリートメント,本日は、ありがとうございました。ヒアリングを丁寧にしていただき、思い通りに仕上げていただきました。カットもシャンプー、トリートメント技術もとても満足です。また、伺います!ありがとうございました!,A店
女性,30代前半,会社員,【平日限定】カット+カラー+ロイヤルTr\15900→\6980 カット、カラー、トリートメント,カット、カラー、トリートメント,はじめてお願いしました。カラーへの悩みを丁寧にカウンセリングしてくださり、とってもかわいく仕上げていただきました！大満足です。ありがとうございました！,A店
男性,30代前半,,【平日限定】イルミナカラー+カット+ロイヤルTr\17200→\8080 カット、カラー、トリートメント,カット、カラー、トリートメント,最初のカウンセリングから非常に丁寧に行っていただき、大変満足な仕上がりとなりました。またお伺いしたいと思います。,A店
女性,30代前半,会社員,カット+カラー+ロイヤルTr\15900→\7980 カット、カラー、トリートメント,カット、カラー、トリートメント,お客様がたくさんいて忙しそうでしたが、一人一人に丁寧に対応してくださっているのが伝わりました。これまで挑戦したことがなかった髪色を提案していただき、結果とても素敵に仕上げていただき満足しています。ありがとうございました！,A店
女性,20代前半,会社員,カット+カラー+パーマ　\24100→\13480 カット、カラー、パーマ,カット、カラー、パーマ,人生初パーマでしたが、イメージ通りの似合うパーマとカラーにして頂きました！職場の先輩方にも好評で、たくさん褒められました！施術中のお話も大変面白く、カット＋パーマ＋カラーはとても時間がかかる施術なのに時間があっという間でした笑また利用したいと思います、ありがとうございました！,A店
女性,40代,,カラー+Tr　\8400→\5500 カラー、トリートメント,カラー、トリートメント,カラーの色味の選び方や施術の方針など、丁寧に説明いただきました！すごく賑やかな店内で、皆さん店員さんと楽しくお話しされてました。,A店
女性,30代前半,パート・アルバイト,カット+Tr　　\7100→\4650 カット、トリートメント,カット、トリートメント,丁寧な接客をして頂いて、仕上がりも満足です。また、利用したいと思います,A店
女性,20代前半,会社員,【平日限定】カット+カラー+ロイヤルTr\15900→\6980 カット、カラー、トリートメント,カット、カラー、トリートメント,自分に似合う髪色や髪型がわからなかったのですが、親身に話を聞いてくださり、最高の仕上がりになりました！担当スタイリストさんとスタッフさんとの話が、漫才でも聞いてるんかってレベルで最高に面白かったし、楽しかったです！笑次はイヤリングカラーリベンジします！,A店
女性,20代後半,会社員,【平日限定】カット+カラー+ロイヤルTr\15900→\6980 カット、カラー、トリートメント,カット、カラー、トリートメント,カウンセリングの時から安心感があり、理想のヘアスタイルにして頂けました！また提案してくださったカラーもとても気に入っています！スタッフさんがとても話しやすく、楽しく過ごせました！またよろしくお願いします！,A店
